Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence,latitude,longitude,North,East
KTL,UT,LAT,38,藍田,Lam Tin,15,22.30666667,114.2330556,22.18.24,114.13.59
KTL,UT,YAT,48,油塘,Yau Tong,16,22.29777778,114.2372222,22.17.52,114.14.14
KTL,UT,TIK,49,調景嶺,Tiu Keng Leng,17,22.30416667,114.2525,22.18.15,114.15.09
TML,UT,WKS,103,烏溪沙,Wu Kai Sha,1,22.42916667,114.2438889,22.25.45,114.14.38
TML,UT,MOS,102,馬鞍山,Ma On Shan,2,22.42472222,114.2316667,22.25.29,114.13.54
TML,UT,HEO,101,恆安,Heng On,3,22.4175,114.2258333,22.25.03,114.13.33
TML,UT,TSH,100,大水坑,Tai Shui Hang,4,22.40888889,114.2230556,22.24.32,114.13.23
TML,UT,SHM,99,石門,Shek Mun,5,22.38777778,114.2083333,22.23.16,114.12.30
TML,UT,CIO,98,第一城,City One,6,22.38277778,114.2036111,22.22.58,114.12.13
TML,UT,STW,97,沙田圍,Sha Tin Wai,7,22.37722222,114.195,22.22.38,114.11.42
TML,UT,CKT,96,車公廟,Che Kung Temple,8,22.37472222,114.1861111,22.22.29,114.11.10
TML,UT,TAW,67,大圍,Tai Wai,9,22.37305556,114.1786111,22.22.23,114.10.43
TML,UT,HIK,90,顯徑,Hin Keng,10,22.36388889,114.1708333,22.21.50,114.10.15
TML,UT,DIH,11,鑽石山,Diamond Hill,11,22.34,114.2016667,22.20.24,114.12.06
TML,UT,KAT,91,啟德,Kai Tak,12,22.33027778,114.1994444,22.19.49,114.11.58
TML,UT,SUW,92,宋皇臺,Sung Wong Toi,13,22.32583333,114.1913889,22.19.33,114.11.29
TML,UT,TKW,93,土瓜灣,To Kwa Wan,14,22.31722222,114.1875,22.19.02,114.11.15
TML,UT,HOM,84,何文田,Ho Man Tin,15,22.30916667,114.1827778,22.18.33,114.10.58
TML,UT,HUH,64,紅磡,Hung Hom,16,22.30277778,114.1816667,22.18.10,114.10.54
TML,UT,ETS,80,尖東,East Tsim Sha Tsui,17,22.29555556,114.1752778,22.17.44,114.10.31
TML,UT,AUS,111,柯士甸,Austin,18,22.30472222,114.1663889,22.18.17,114.09.59
TML,UT,NAC,53,南昌,Nam Cheong,19,22.32666667,114.1533333,22.19.36,114.09.12
TML,UT,MEF,20,美孚,Mei Foo,20,22.33805556,114.1375,22.20.17,114.08.15
TML,UT,TWW,114,荃灣西,Tsuen Wan West,21,22.36861111,114.1097222,22.22.07,114.06.35
TML,UT,KSR,115,錦上路,Kam Sheung Road,22,22.43472222,114.0633333,22.26.05,114.03.48
TML,UT,YUL,116,元朗,Yuen Long,23,22.44611111,114.0352778,22.26.46,114.02.07
TML,UT,LOP,117,朗屏,Long Ping,24,22.44777778,114.0252778,22.26.52,114.01.31
TML,UT,TIS,118,天水圍,Tin Shui Wai,25,22.44805556,114.0047222,22.26.53,114.00.17
TML,UT,SIH,119,兆康,Siu Hong,26,22.41194444,113.9786111,22.24.43,113.58.43
TML,UT,TUM,120,屯門,Tuen Mun,27,22.39527778,113.9730556,22.23.43,113.58.23
TML,DT,TUM,120,屯門,Tuen Mun,1,22.39527778,113.9730556,22.23.43,113.58.23
TML,DT,SIH,119,兆康,Siu Hong,2,22.41194444,113.9786111,22.24.43,113.58.43
TML,DT,TIS,118,天水圍,Tin Shui Wai,3,22.44805556,114.0047222,22.26.53,114.00.17
TML,DT,LOP,117,朗屏,Long Ping,4,22.44777778,114.0252778,22.26.52,114.01.31
TML,DT,YUL,116,元朗,Yuen Long,5,22.44611111,114.0352778,22.26.46,114.02.07
TML,DT,KSR,115,錦上路,Kam Sheung Road,6,22.43472222,114.0633333,22.26.05,114.03.48
TML,DT,TWW,114,荃灣西,Tsuen Wan West,7,22.36861111,114.1097222,22.22.07,114.06.35
TML,DT,MEF,20,美孚,Mei Foo,8,22.33805556,114.1375,22.20.17,114.08.15
TML,DT,NAC,53,南昌,Nam Cheong,9,22.32666667,114.1533333,22.19.36,114.09.12
TML,DT,AUS,111,柯士甸,Austin,10,22.30472222,114.1663889,22.18.17,114.09.59
TML,DT,ETS,80,尖東,East Tsim Sha Tsui,11,22.29555556,114.1752778,22.17.44,114.10.31
TML,DT,HUH,64,紅磡,Hung Hom,12,22.30277778,114.1816667,22.18.10,114.10.54
TML,DT,HOM,84,何文田,Ho Man Tin,13,22.30916667,114.1827778,22.18.33,114.10.58
TML,DT,TKW,93,土瓜灣,To Kwa Wan,14,22.31722222,114.1875,22.19.02,114.11.15
TML,DT,SUW,92,宋皇臺,Sung Wong Toi,15,22.32583333,114.1913889,22.19.33,114.11.29
TML,DT,KAT,91,啟德,Kai Tak,16,22.33027778,114.1994444,22.19.49,114.11.58
TML,DT,DIH,11,鑽石山,Diamond Hill,17,22.34,114.2016667,22.20.24,114.12.06
TML,DT,HIK,90,顯徑,Hin Keng,18,22.36388889,114.1708333,22.21.50,114.10.15
TML,DT,TAW,67,大圍,Tai Wai,19,22.37305556,114.1786111,22.22.23,114.10.43
TML,DT,CKT,96,車公廟,Che Kung Temple,20,22.37472222,114.1861111,22.22.29,114.11.10
TML,DT,STW,97,沙田圍,Sha Tin Wai,21,22.37722222,114.195,22.22.38,114.11.42
TML,DT,CIO,98,第一城,City One,22,22.38277778,114.2036111,22.22.58,114.12.13
